Ct.gov,MoA,Drug,Company,Trial Name,NCT,Other Trial Code,Phase,Status,Purpose,Design,Indication,Study Type,Biomarker,Primary Endpoint,Secondary Endpoints,n,Population,Key Inclusion Criteria,Key Exclusion Criteria,Dose (mg) being tested,Frequency,Route,Device,Comparator(s),Geography,Start,Recruit finished,Study Duration (weeks),Primary data completed (CT.gov),Study completion (CT.gov),Safety Registrational study,FDA Filing Date,FDA Response,US Launch,EU Filing Date,CHMP Decision Date,Marketing Approval,EU Launch,Japan filing,MHLW Approval,Japan Launch,Notes,Topline results,Data Presentation,Source
Link,LABA/ICS,Foster,Chiesi,NELSON,NCT01570478,,3,Completed,H2H,,Asthma,,,,,90,,,,100/6,,,NEXThaler,Seretide 250/50,,Jul-12,,,Feb-14,,,,,,,,,,,,,,,,
Link,LABA/ICS,Foster,Chiesi,LIAISON,NCT01567280,,-,Fully enrolled,Marketing/HECON,,Asthma,,,,,8150,,,,,,,,,,May-12,,,Oct-13,,,,,,,,,,,,,International cross-sectional & longitudinal study,,,
Link,LABA/ICS,Foster,Chiesi,,NCT00862394,,3,Completed,Pivotal ,,Asthma,,,,,783,,,,100/6,,,NEXThaler,pMDI,,Feb-09,,,Jan-10,,,,,,,,,,,,,Includes adolescents,,,
Link,LABA/ICS,Foster,Chiesi,REACH,NCT01908075,,,Completed,Real world,,Asthma,,,,,194723,,,,100/6,,,,Seretide,,Jan-11,,,Mar-13,,,,,,,,,,,,,Real world study (also UK only study NCT01242098),,,
Link,LABA/ICS,Foster,Chiesi,,NCT02148120,,2,Completed,Bridging,,Asthma,,,FEV1,,60,,,,200/6;100/6,,,NEXThaler,No,,Apr-14,,Single dose,Oct-14,,,,,,,,,,,,,Non-inferiority study of 2 doses to demonstrate acute bronchodliator affect,,,
Link,LABA/ICS,Foster ,Chiesi,,NCT01620099,,4,Completed,IIS,,Asthma,,,N breath test,,60,,,,100/6,,,pMDI,No,,Apr-14,,,Apr-14,,,,,,,,,,,,,IIS study. Small airway activity in smoking asthmatics,,,
Link,LABA/ICS,Foster PAED,Chiesi,PAED2/FRESH,NCT01475032,,3,Completed,Pivotal,,Asthma,,,,,638,,,,,,,pMDI,Free combo,,Sep-11,,,Sep-12,,,,,,,,,,,,,5-11 year olds,,,
Link,LABA/ICS,Foster PAED,Chiesi,PAED1,NCT01848769,,2,Completed,,,Asthma,,,,,20,,,,50/6,,,pMDI,Free combo,,Sep-09,,,Dec-10,,,,,,,,,,,,,5-11 year olds,,,
Link,LABA/ICS,Foster PAED,Chiesi,PAED3,NCT01584492,,2,Completed,,,Asthma,,,,,59,,,,50/6,,,pMDI,Free combo,,Dec-11,,,Mar-13,,,,,,,,,,,,,5-11 year olds,,,
Link,LABA/ICS,Foster PAED,Chiesi,PAED4,NCT01468272,,2,Completed,,,Asthma,,,,,26,,,,50/6,,,NEXThaler,Free combo,,Nov-11,,,Aug-12,,,,,,,,,,,,,5-11 year olds,,,
Link,LABA/ICS,Foster PAED,Chiesi,,NCT01450774,,3,Completed,,,Asthma,,,,,72,,,,50/6,,,pMDI,Free combo,,Sep-11,,,Feb-14,,,,,,,,,,,,,5-11 year olds,,,
Link,LABA/ICS,Foster PAED,Chiesi,ADO pMDI,NCT01803087,,2,Completed,,,Asthma,,,,,60,,,,100/6,,,pMDI (inc spacer),Free combo,,Feb-12,,,Oct-12,,,,,,,,,,,,,12-18 year olds,,,
Link,LABA/ICS,Foster PAED,Chiesi,,NCT01658891,,3,Withdrawn,,,Asthma,,,,,0,,,,50/6,,,NEXThaler,Free combo,,Feb-14,,,Nov-15,,,,,,,,,,,,,5-11 year olds,,,
Link,,Questionnaire,,SADQ,NCT01360294,,-,Completed,,,Asthma,,,,,65,,,,-,,,Small airways symptom questionnaire,-,,Sep-11,,,Aug-12,,,,,,,,,,,,,,,,
Link,,Small airways,Chiesi,ATLANTIS,NCT02123667,,4,Planned,Marketing,,Asthma,,,,,900,,,, ,,,Observational  non-pharmacological intervention,,,May-14,,,Dec-16,,,,,,,,,,,,,Primary research suggests that this is now recruiting,,,
Link,LAMA,Spiriva,BI,PrimoTinA (1),NCT00772538,,3,Completed,Pivotal,,Severe asthma,,,,,459,Adults,,,5mg + ICS/LABA,,,,No,,Oct-08,,,Jul-11,,,,,,,,,,,,,48 week study,Yes,NEJM Sep-12,
Link,LAMA,Spiriva,BI,PrimoTinA (2),NCT00776984,,3,Completed,Pivotal,,Severe asthma,,,,,453,Adults,,,5mg + ICS/LABA,,,,No,,Oct-08,,,Jul-11,,,,,,,,,,,,,48 week study,Yes,NEJM Sep-12,
Link,LAMA,Spiriva,BI,MezzoTinA (1),NCT01172808,,3,Completed,Pivotal,,Moderate asthma,,,,,1032,Adults,,,2.5/5mcg + ICS (>400mcg),,,,50mcg salmeterol,,Aug-10,,,Nov-12,,,,,,,,,,,,,24 week study,Yes,ERS 2013,
Link,LAMA,Spiriva,BI,MezzoTinA (2),NCT01172821,,3,Completed,Pivotal,,Moderate asthma,,,,,1071,Adults,,,2.5/5mcg + ICS (>400mcg),,,,50mcg salmeterol,,Aug-10,,,Nov-12,,,,,,,,,,,,,24 week study,Yes,ERS 2013,
Link,LAMA,Spiriva,BI,GraziaTinA,NCT01316380,,3,Completed,Pivotal,,Mild asthma,,,,,465,Adults,,,2.5/5mcg + low dose ICS (<400mcg),,,,No,,Mar-11,,,Apr-12,,,,,,,,,,,,,12 week study,,AAAAI 2014,
Link,LAMA,Spiriva,BI,,NCT01340209,,3,Completed,Pivotal,,Moderate/severe asthma,,,,,285,Adults,,,2.5/5mcg +ICS/LABA or medium dose ICS,,,,No,,Apr-11,,,Apr-13,,,,,,,,,,,,,52 week study,,,
Link,LAMA,Spiriva,BI,,NCT01233284,,2,Completed,Pivotal,,Moderate asthma,,,,,149,Adults,,,1.25/2.5/5mcg + medium dose ICS,,,,No,,Nov-10,,,Jan-12,,,,,,,,,,,,,,Yes,,
Link,LAMA,Spiriva,BI,PensiTinA,NCT01277523,,3,Completed,Pivotal,,Severe asthma,,,,,392,Adolescents,,,2.5/5mcg  + ICS/LABA or other BD,,,,No,,Jan-11,,,Oct-13,,,,,,,,,,,,,12 week study,,,
Link,LAMA,Spiriva,BI,RubaTinA,NCT01257230,,3,Completed,Pivotal,,Moderate asthma,,,Peak FEV1,,398,Adolescents,,,2.5/5mcg + medium dose ICS ,,,,No,,Dec-10,,48 week,Dec-13,,,,,,,,,,,,,48 week study,,,
Link,LAMA,Spiriva,BI,,NCT01122680,,2,Completed,Pivotal,,Moderate asthma,,,,,102,,,,1.25/2.5/5mcg + ICS,,,,No,,May-10,,,Apr-11,,,,,,,,,,,,,,Yes,,
Link,LAMA,Spiriva,BI,,NCT01634113,,2/3,Completed,,,Asthma,,,Combined daytime asthma score & peak FEV1,,101,Paediatrics,,,2.5/5mcg +ICS,,,,No,,Jul-12,,12 weeks,Nov-14,,,,,,,,,,,,,1-5 year olds,,,
Link,LAMA,Spiriva,BI,,NCT01383499,,2,Completed,,,Moderate asthma,,,,,101,Paediatrics,,,1.25/2.5/5mcg + 200-400mcg ICS,,,,No,,Aug-11,,,Sep-12,,,,,,,,,,,,,6-11 year olds,,,
Link,LAMA,Spiriva,BI,,NCT01634139,,3,Enrollment Complete,,,Moderate asthma,,,,,381,Paediatrics,,,2.5/5mcg + medium dose ICS ,,,,No,,Jul-12,,,Apr-14,,,,,,,,,,,,,48 week study 6-11 year olds,,,
Link,LAMA,Spiriva,BI,,NCT01634152,,3,Enrollment Complete,,,Severe asthma,,,,,375,Paediatrics,,,2.5/5mcg + high dose ICS or medium dose of other controllers,,,,No,,Jul-12,,,Dec-14,,,,,,,,,,,,,12 week study 6-11 year olds,,,
Link,LABA/ICS,Flutiform BAI,Mundipharma,,NCT01739387,,,Completed,,,Asthma & COPD,,,,,332,,,,Device study,,,,pMDI,,Nov-12,,,Jun-13,,,,,,,,,,,,,Adults & paediatrics,,,
Link,LABA/ICS,Flutiform COPD,Mundipharma,,NCT01946620,,,Recruiting,Pivotal,,COPD,,,,,1530,,,,250/10mcg & 125/5mcg,,,,Formoterol,,Oct-13,,,Oct-15,,,,,,,,,,,,,Adults & paediatrics,,,
Link,LABA/ICS,Flutiform COPD,Mundipharma,,NCT02195375,,,Planned,H2H,,COPD,,,Average pre-dose FEV1 @ 26 weeks,,912,,,,500/20mcg & 250/10mcg,,,,Seretide 500/50,,Aug-14,,26,Nov-15,,,,,,,,,,,,,Asia Pacific,,,
Link,LABA/ICS,Flutiform Paed,Mundipharma,,NCT02063139,,,Completed,Safety,,Mild asthma,,,Non-inferiority on lower leg growth rates,,48,,,,50/5mcg,,,,Fluticasone 50mcg Beclometasone 50mcg,,Feb-14,,,Jul-14,,,,,,,,,,,,,5-11 year olds,,,
Link,LABA/ICS,Flutiform Paed,Mundipharma,,NCT01511367,,,Completed,Pivotal,,Moderate-severe asthma,,,,,498,,,,50/5mcg,,,,Seretide & Flixotide,,Mar-12,,,Sep-13,,,,,,,,,,,,,5-11 year olds,,,
Link,LABA/ICS,Flutiform Paed,Mundipharma,,NCT00475813,,,Completed,Pivotal,,Asthma,,,,,211,,,,,,,,Seretide  ,,Mar-07,,,Feb-08,,,,,,,,,,,,,4-12 year olds,,,
Link,LABA/ICS,Flutiform,Mundipharma,,NCT01099722,,,Completed,,,Moderate-severe asthma,,,,,261,,,,125/5mcg,,,,Symbicort 200/6mcg,,Apr-10,,,Nov-10,,,,,,,,,,,,,Adults & paediatrics,,,
Link,LABA/LAMA,Ultibro,Novartis,BRIGHT,NCT01294787,,3,Completed,Pivotal,,COPD,,,,,85,,,,QD,,,,Spiriva,,Feb-11,,,Nov-11,,,,,,,,,,,,,,Yes,,
Link,LABA/LAMA,Ultibro,Novartis,ENLIGHTEN,NCT01120717,,3,Completed,Pivotal,,COPD,,,,,339,,,,110/50mcg QD,,,,No,,Apr-10,,,Dec-11,,,,,,,,,,,,,Long term safety,Yes,,
Link,LABA/LAMA,Ultibro,Novartis,SHINE,NCT0120218,,3,Completed,Pivotal,,COPD,,,,,2144,,,,110/50mcg QD,,,,Spiriva,,Sep-10,,,Feb-12,,,,,,,,,,,,,,Yes,,
Link,LABA/LAMA,Ultibro,Novartis,ILLUMINATE,NCT01315249,,3,Completed,Pivotal,,COPD,,,,,523,,,,QD,,,,Seretide,,Mar-11,,,Mar-12,,,,,,,,,,,,,,Yes,,
Link,LABA/LAMA,Ultibro,Novartis,SPARK,NCT01120691,,3,Completed,Pivotal,,COPD,,,,,2224,,,,110/50mcg QD,,,,Spiriva,,Apr-10,,,Jul-12,,,,,,,,,,,,,,Yes,ATS 2013,
Link,LABA/LAMA,Ultibro,Novartis,BLAZE,NCT01490125,,3,Completed,Pivotal,,COPD,,,,,247,,,,110/50mcg QD,,,,Spiriva,,Oct-11,,,Aug-12,,,,,,,,,,,,,,Yes,,
Link,LABA/LAMA,Ultibro,Novartis,,NCT01285492,,3,Completed,Pivotal,,COPD,,,,,160,,,,110/50mcg QD,,,,Spiriva,,Jan-11,,,Sep-12,,,,,,,,,,,,,Long term Japanese study,Yes,,
Link,LABA/LAMA,Ultibro,Novartis,BEACON,NCT01529632,,3,Completed,Pivotal,,COPD,,,,,193,,,,110/50mcg QD,,,,Free combo,,May-12,,,Dec-12,,,,,,,,,,,,,,,,
Link,LABA/LAMA,Ultibro,Novartis,QUANTIFY,NCT01574651,,3,Completed,Marketing,,COPD,,,,,933,,,,110/50mcg QD,,,,Spiriva & Formoterol,,May-12,,,Apr-13,,,,,,,,,,,,,,,,
Link,LABA/LAMA,Ultibro,Novartis,,NCT01709903,,3,Completed (May 14),Pivotal (Asia),,COPD,,,,,741,,,,110/50mcg QD,,,,Seretide,,Nov-12,,,Feb-14,,,,,,,,,,,,,"Argentina, S. Am, China & Taiwan",,,
Link,LABA/LAMA,Ultibro,Novartis,,NCT01712516,,3,"Completed 
(Feb-14)",Pivotal (US),,COPD,,,FEV1 AUC,,1001,,,,na,,,,"LABA, LAMA, pbo",,Nov-12,,12 weeks,Mar-14,,,,,,,,,,,,,US focused,,,
Link,LABA/LAMA,Ultibro,Novartis,,NCT01727141,,3,Completed (May 14),Pivotal (US),,COPD,,,,,1042,,,,na,,,,"LABA, LAMA, pbo",,Nov-12,,12 weeks,Feb-14,,,,,,,,,,,,,US focused,,,
Link,LABA/LAMA,Ultibro,Novartis,,NCT01682863,,3,Fully enrolled,Safety,,COPD,,,,,611,,,,2 doses,,,,Indacaterol,,Oct-12,,,Jun-14,,,,,,,,,,,,,LT safety study (US),,,
Link,LABA/LAMA,Ultibro,Novartis,MOVE,NCT01996319,,3,Planned,Marketing?,,COPD,,,,,150,,,,110/50mcg QD,,,,No,,Mar-14,,,Dec-14,,,,,,,,,,,,,,,,
Link,LABA/LAMA,Ultibro,Novartis,GLISTEN,NCT01610037,,3,Recruiting,H2H,,COPD,,,,,1224,,,,110/50mcg QD,,,,Spiriva,,Mar-12,,,Jan-15,,,,,,,,,,,,,,,,
Link,LABA/LAMA,Ultibro,Novartis,,NCT01985334,,4,Recruiting,Marketing,,COPD,,,Trough FEV1 & TDI,,5720,,,,110/50mcg QD,,,,-,,Jun-14,,,Oct-15,,,,,,,,,,,,,Switch study from SOC. Start delayed from Feb 14,,,
Link,LABA/LAMA,Ultibro,Novartis,FLAME,NCT01782326,,3,Recruiting,H2H,,COPD,,,,,3332,,,,,,,,Seretide,,Jan-13,,,Sep-15,,,,,,,,,,,,,52 week exacerbation study,,,
Link,LABA/LAMA,Ultibro,Novartis,FAVOR,NCT02125734,,4,Recruiting,Local,,COPD,,,FEV1,,110,,,,110/50mcg QD,,,,Spiriva   ,,Apr-14,,8 weeks,Nov-14,,,,,,,,,,,,,Lung function & patient preference. Germany only,,,
Link,LABA/LAMA,Ultibro,Novartis,,NCT02233543,,4,Planned,Local,,COPD,,,Noctural O2 levels,,50,,,,85/43mcg QD,,,,No,,Sep-14,,4 weeks,Apr-15,,,,,,,,,,,,,Scandanavian only,,,
Link,LABA/LAMA,Ultibro,Novartis,POWER,NCT02202616,,4,Recruiting,Real world,,COPD,,,Trough FEV1,,710,,,,110/50mcg QD,,,,No,,Jul-14,,16 weeks,Dec-15,,,,,,,,,,,,,Canada only,,,
Link,LAMA,Seebri,Novartis,,NCT02127697,,3,Withdrawn,Pivotal,,Asthma,Safety & efficacy,,,,1938,,,,,,,,No,,Oct-14,,52,Dec-16,,,,,,,,,,,,,"Withdrawn prior to the recruitment of any patients. Asthma indication no longer listed in pipeline. Therefore, assumed to be discontinued for this indication",,,
Link,LABA/LAMA/ICS,DIAMOND,GSK,,NCT02345161,,3,Not open for recruitment,,,COPD,,,Change from baseline in trough FEV1 at Week 24 ,,1800,,,,FF/UMEC/VI (100 mcg/62.5 mcg/25 mcg),,,,budesonide/formeterol,,Jan-15,,24,Mar-16,,,,,,,,,,,,,exUS sites.  Believed that this could be the same study as EudraCT: 2013-003073-10,,,
